FeatureID,mz,RT,DBE,C,H,O,N,S,P,Cl,Br,B,Se,I,H/C,O/C,N/C,AI-mod,DBE,DBE/C,C_log10,H_log10,H/C_log2
1699,287.1460542,4.712323966,1,12,24,6,0,0,0,0,0,0,0,0,2,0.5,0,0,1,0.083333333,1.079181246,1.380211242,1
1709,289.1584605,10.21553237,7,18,24,1,0,1,0,0,0,0,0,0,1.333333333,0.055555556,0,0.333333333,7,0.388888889,1.255272505,1.380211242,0.415037499
1720,293.1949253,6.16884488,1,14,28,6,0,0,0,0,0,0,0,0,2,0.428571429,0,0,1,0.071428571,1.146128036,1.447158031,1
1732,296.2427161,4.552360609,-0.5,12,31,4,4,0,0,0,0,0,0,0,2.583333333,0.333333333,0.333333333,0,-0.5,-0.041666667,1.079181246,1.491361694,1.369233809
1733,297.1032321,0.646311535,7,12,16,3,4,1,0,0,0,0,0,0,1.333333333,0.25,0.333333333,0.454545455,7,0.583333333,1.079181246,1.204119983,0.415037499
1734,297.1036758,1.158768608,7,12,16,3,4,1,0,0,0,0,0,0,1.333333333,0.25,0.333333333,0.454545455,7,0.583333333,1.079181246,1.204119983,0.415037499
1745,299.2000758,10.27329902,8,20,26,2,0,0,0,0,0,0,0,0,1.3,0.1,0,0.368421053,8,0.4,1.301029996,1.414973348,0.378511623
1753,301.1603154,5.753303257,4,15,24,6,0,0,0,0,0,0,0,0,1.6,0.4,0,0.083333333,4,0.266666667,1.176091259,1.380211242,0.678071905
1765,303.1579493,8.307351335,8,18,22,4,0,0,0,0,0,0,0,0,1.222222222,0.222222222,0,0.375,8,0.444444444,1.255272505,1.342422681,0.289506617
1782,308.1167442,0.645455711,4,9,17,7,5,0,0,0,0,0,0,0,1.888888889,0.777777778,0.555555556,0,4,0.444444444,0.954242509,1.230448921,0.91753784
1783,308.117517,1.662964586,4,9,17,7,5,0,0,0,0,0,0,0,1.888888889,0.777777778,0.555555556,0,4,0.444444444,0.954242509,1.230448921,0.91753784
1793,311.164347,3.725499094,10,20,22,3,0,0,0,0,0,0,0,0,1.1,0.15,0,0.459459459,10,0.5,1.301029996,1.342422681,0.137503524
1794,311.1845235,8.479053349,5,17,26,5,0,0,0,0,0,0,0,0,1.529411765,0.294117647,0,0.172413793,5,0.294117647,1.230448921,1.414973348,0.612976877
1797,312.2001293,3.93514308,0,13,29,7,1,0,0,0,0,0,0,0,2.230769231,0.538461538,0.076923077,0,0,0,1.113943352,1.462397998,1.157541277
1801,313.1790405,9.549620312,9,20,24,3,0,0,0,0,0,0,0,0,1.2,0.15,0,0.405405405,9,0.45,1.301029996,1.380211242,0.263034406
1802,313.1790147,10.04134087,9,20,24,3,0,0,0,0,0,0,0,0,1.2,0.15,0,0.405405405,9,0.45,1.301029996,1.380211242,0.263034406
