"","Alcohols and polyols","Alkyl phosphates","Alpha,beta-unsaturated carbonyl compounds","Alpha,beta-unsaturated ketones","Aminosaccharides","Androstane steroids","Carbonyl compounds","Carboxylic acid derivatives","Carboxylic acid esters","Carboxylic acids and derivatives","Cholines","Dialkyl phosphates","Dicarboxylic acids and derivatives","Disaccharides","Fatty acid esters","Fatty Acyls","Glycerophosphocholines","Glycerophospholipids","Lipids and lipid-like molecules","O-glycosyl compounds","Organic acids and derivatives","Organic cations","Organic oxides","Organic phosphoric acids and derivatives","Organic salts","Phosphate esters","Phosphatidylcholines","Phosphocholines","Quaternary ammonium salts","Secondary alcohols","Steroid esters","Tetraalkylammonium salts"
"8661",0.1,0,0.21,0.1,0,0,0.66,0.22,0.29,0.32,0,0,0.1,0,0.4,0.21,0,0,0.89,0,0.23,0,0.8,0,0,0.01,0,0,0,0.11,0.05,0
"8667",0.05,0,0.21,0.27,0,0.06,0.85,0.67,0.55,0.77,0,0,0.29,0,0.16,0.15,0.01,0,0.85,0,0.85,0.01,0.91,0,0.01,0,0,0,0,0.05,0.32,0
"8688",0.04,0,0.09,0.12,0,0.03,0.97,0.91,0.92,0.94,0,0,0.62,0,0.17,0.28,0,0,0.99,0,0.99,0,0.98,0,0,0,0,0,0,0.02,0.61,0
"8699",0.87,0,0,0,0,0,0.9,0.88,0.85,0.89,0,0,0.12,0.01,0.91,0.91,0,0.01,0.99,0.12,1,0,0.89,0,0,0,0,0,0,0.55,0,0
"8804",0.79,0.02,0.1,0.09,0.06,0,0.96,0.72,0.42,0.87,0,0,0.28,0.05,0.09,0.44,0,0,0.61,0.13,0.97,0.01,0.98,0.01,0.01,0,0.01,0.01,0,0.9,0,0
"8856",0.84,0,0.01,0.02,0,0.05,0.97,0.99,0.96,0.99,0,0,0.74,0.13,0.33,0.64,0,0,0.97,0.54,0.99,0.01,0.99,0,0,0,0.01,0,0,0.67,0.12,0
"8934",0.72,0,0.01,0.01,0.15,0,0.92,0.63,0.49,0.96,0,0,0.31,0.01,0.32,0.87,0,0.03,0.97,0.07,0.97,0,0.93,0,0,0,0.01,0,0,0.7,0,0
"9001",0.02,0,0.13,0.14,0,0.01,0.94,0.75,0.79,0.81,0,0,0.45,0,0.07,0.06,0,0,0.97,0,0.94,0,0.97,0,0,0,0,0,0,0.02,0.68,0
"9045",0.29,0.03,0.01,0.02,0.01,0,0.76,0.7,0.55,0.92,0,0.01,0.52,0,0.25,0.44,0,0,0.27,0.01,0.99,0,0.98,0.02,0,0.08,0.01,0,0,0.29,0.01,0
"9225",0.07,0,0.17,0.07,0,0.01,0.68,0.31,0.36,0.42,0,0,0.11,0,0.25,0.18,0,0,0.86,0,0.29,0.01,0.79,0,0.01,0.01,0,0,0,0.08,0.11,0
"9317",0.79,0,0.03,0.04,0,0,0.9,0.9,0.83,0.96,0,0,0.06,0,0.62,0.6,0,0,0.96,0,0.96,0,0.96,0,0,0,0,0,0,0.41,0,0
"9425",0.77,1,0.02,0.03,0,0,0.96,0.98,0.97,0.99,0.98,1,0.58,0,0.95,0.96,0.99,1,1,0,1,0.52,1,1,0.54,1,0.61,0.99,0.99,0.64,0,0.97
"9522",0.49,0,0.05,0.05,0.06,0,0.95,0.85,0.66,0.91,0,0,0.36,0.12,0.43,0.81,0,0,0.81,0.06,0.97,0.01,0.92,0.01,0.01,0,0.01,0.01,0,0.51,0.11,0
