feature,Pn-delicatissima,Pn-galaxiae,Pn-hasleana,Pn-multiseries,Pn-subpacifica,MeanDecreaseAccuracy,MeanDecreaseGini,mean_decrease_important,multiseries_important,delicatissima_important,galaxiae_important,hasleana_important,subpacifica_important
X8265,2.8333333333333332e-5,1e-5,1e-5,1.6666666666666662e-6,-6.666666666666667e-6,7.857142857142858e-6,0.0012733657453657453,not important,not important,not important,not important,not important,not important
X8266,0,8e-6,8e-6,4e-6,0,6.372549019607842e-6,4.3501010101010105e-4,not important,not important,not important,not important,not important,not important
X8267,-8e-6,0,8.333333333333332e-6,0,0,-5.030959752321984e-8,4.1286691086691094e-4,not important,not important,not important,not important,not important,not important
X8268,5e-6,-5e-6,0,0,0,0,2.819230769230769e-4,not important,not important,not important,not important,not important,not important
X8270,4.7e-4,-2.333333333333333e-5,2.0166666666666667e-4,8.113333333333335e-4,9.900000000000001e-5,3.006628975599562e-4,0.01590759958803375,not important,not important,not important,not important,not important,not important
X8271,4.399999999999999e-5,1.3133333333333332e-4,1.566666666666666e-5,2.0533333333333336e-4,8.139999999999999e-4,2.4344573228628945e-4,0.010193776976130163,not important,not important,not important,not important,not important,not important
X8272,-4e-6,6.666666666666667e-6,6.666666666666667e-6,0,0,1.25e-6,3.5989207283944124e-4,not important,not important,not important,not important,not important,not important
X8273,4.7000000000000004e-5,5.933333333333334e-5,7.033333333333333e-5,9.833333333333334e-5,8.489999999999999e-4,2.1149445386055285e-4,0.009091822191131495,not important,not important,not important,not important,not important,not important
X8274,1e-5,-3.6666666666666666e-5,-8.333333333333335e-6,0,0,-3.0378151260504205e-6,0.0010188130203130205,not important,not important,not important,not important,not important,not important
X8275,0,-6.666666666666667e-6,1.3333333333333333e-5,0,0,1.4285714285714284e-6,2.908267770876466e-4,not important,not important,not important,not important,not important,not important
X8276,2.4166666666666661e-4,9.400000000000001e-5,6.404761904761904e-5,8.399999999999998e-5,2.1999999999999996e-5,9.845357050929808e-5,0.005394280958327653,not important,not important,not important,not important,not important,not important
X8277,6.100000000000001e-5,-3.4e-5,2.5333333333333334e-5,-1.8e-5,7.466666666666666e-5,1.4618565644881433e-5,0.003602937737185416,not important,not important,not important,not important,not important,not important
X8278,0,0,1e-5,5e-6,0,5e-6,2.641818181818182e-4,not important,not important,not important,not important,not important,not important
X8279,1.1666666666666665e-5,-2.666666666666666e-6,-1.5e-5,8e-6,0,5.602187028657617e-6,6.585128205128205e-4,not important,not important,not important,not important,not important,not important
X8280,1.3333333333333333e-5,-3.066666666666666e-5,1.5e-5,-5e-6,0,-2.1812468577174454e-6,0.001021648518148518,not important,not important,not important,not important,not important,not important
X8281,3.3333333333333333e-6,-2.333333333333333e-5,5.5e-5,0,0,2.952380952380952e-6,7.800381280226482e-4,not important,not important,not important,not important,not important,not important
X8282,-5e-6,-5.666666666666665e-5,2.7666666666666667e-5,4.9999999999999996e-6,-9e-6,-3.4502801120448166e-6,0.001866279576632518,not important,not important,not important,not important,not important,not important
X8284,1e-5,7.733333333333333e-5,8.666666666666665e-5,6.666666666666667e-6,1.1666666666666665e-5,3.204661918748605e-5,0.001798980796980797,not important,not important,not important,not important,not important,not important
X8285,-1e-5,-2.3333333333333336e-5,4.899999999999999e-5,0,0,1.9038820656467708e-6,0.0015032893250540309,not important,not important,not important,not important,not important,not important
X8286,-5e-6,1e-5,1.6666666666666662e-6,0,-1e-5,-3.131598793363499e-6,5.503766233766233e-4,not important,not important,not important,not important,not important,not important
X8287,2e-5,-1e-5,5.5333333333333334e-5,-6.666666666666667e-6,0,1.059035409035409e-5,9.478154655801717e-4,not important,not important,not important,not important,not important,not important
X8288,1.8999999999999998e-5,-1.483333333333333e-4,3e-4,4.219047619047619e-5,4.7000000000000004e-5,5.008851313804875e-5,0.008296050871681079,not important,not important,not important,not important,not important,not important
X8289,4.266666666666667e-5,5e-6,8.099999999999999e-5,-4e-6,1.5666666666666667e-5,2.7564279287963496e-5,0.0013649394396453224,not important,not important,not important,not important,not important,not important
X8290,6e-6,-6.666666666666667e-6,2.666666666666666e-6,3.3333333333333325e-6,5e-6,1.3333333333333336e-6,6.981316559257736e-4,not important,not important,not important,not important,not important,not important
X8291,2.8333333333333332e-5,-3.733333333333334e-5,4e-5,5.700000000000001e-5,0,1.9957471922642202e-5,0.0029414555399527183,not important,not important,not important,not important,not important,not important
X8292,1.866666666666667e-5,3.133333333333333e-5,-9.666666666666668e-6,2.5333333333333334e-5,3.466666666666666e-5,2.174467276789258e-5,0.0036118839928149077,not important,not important,not important,not important,not important,not important
X8293,2.4e-5,-2.166666666666667e-5,0,6.166666666666666e-5,1.5666666666666667e-5,2.1270804359039652e-5,0.0021194299778948974,not important,not important,not important,not important,not important,not important
X8294,1.0299999999999998e-4,1.1366666666666666e-4,1.2385714285714287e-4,1.3366666666666667e-4,9.503333333333333e-4,2.4973679038539713e-4,0.010353538041970946,not important,not important,not important,not important,not important,not important
X8295,1.1766666666666668e-4,-2.0666666666666663e-5,1.6633333333333333e-4,4e-6,1e-5,5.490374168315346e-5,0.004359909374938787,not important,not important,not important,not important,not important,not important
X8296,5.833333333333333e-5,-1.4666666666666673e-5,-2.166666666666666e-5,-1.833333333333333e-5,1.333333333333334e-6,3.0030699434724233e-6,0.0042690203763483025,not important,not important,not important,not important,not important,not important
X8297,7.179999999999997e-4,1.3166666666666668e-4,5.400000000000002e-5,1.1533333333333334e-4,3.7233333333333335e-4,3.0824180789970233e-4,0.02328930061735482,not important,not important,not important,not important,not important,not important
X8298,4e-6,-1.5e-5,-2e-5,0,0,-5.252100840336134e-6,4.217867132867133e-4,not important,not important,not important,not important,not important,not important
